"year","month","state","latitude","longitude","firespots"
"1999","1","AMAZONAS","-2.3711133333333333","-59.8999333333333333","3"
"1999","1","MARANHAO","-2.2573947222222222","-45.4878305555555556","36"
"1999","1","MATO GROSSO","-12.6113368421052632","-55.0765157894736842","19"
"1999","1","PARA","-2.4748204597701149","-48.5469666666666667","87"
"1999","1","RONDONIA","-12.8617000000000000","-60.5131000000000000","1"
"1999","1","RORAIMA","3.4032246666666667","-60.6228533333333333","15"
"1999","2","AMAPA","-0.15500000000000000000","-52.6831000000000000","1"
"1999","2","AMAZONAS","-2.7631669767441860","-63.4297813953488372","43"
"1999","2","MATO GROSSO","-12.6199875000000000","-55.3753625000000000","8"
"1999","2","PARA","-2.1506174385964912","-53.5099105263157895","285"
"1999","2","RONDONIA","-9.8750000000000000","-62.5617000000000000","1"
"1999","2","RORAIMA","2.2685804761904762","-61.0787523809523810","21"
"1999","3","AMAPA","1.13833500000000000000","-50.4615500000000000","2"
"1999","3","AMAZONAS","-4.1048057142857143","-66.1014142857142857","7"
"1999","3","MARANHAO","-3.5048650000000000","-45.6928000000000000","4"
"1999","3","MATO GROSSO","-12.3161500000000000","-55.9678000000000000","4"
"1999","3","PARA","-5.0887714285714286","-52.3333428571428571","7"
"1999","3","RONDONIA","-12.7341125000000000","-62.1526625000000000","8"
"1999","3","RORAIMA","2.2348033050847458","-60.7009771186440678","118"
"1999","4","AMAZONAS","-3.7330600000000000","-63.6458500000000000","2"
"1999","4","MATO GROSSO","-12.0088415094339623","-55.8624584905660377","53"
"1999","4","PARA","-6.3920866666666667","-52.2840166666666667","6"
"1999","4","RONDONIA","-9.2280733333333333","-63.2332666666666667","3"
"1999","4","RORAIMA","2.7236312500000000","-60.9137437500000000","16"
"1999","5","MATO GROSSO","-12.3656115942028986","-55.2698010351966874","483"
"1999","5","PARA","-5.5206975000000000","-51.3335750000000000","4"
"1999","5","RONDONIA","-11.6626333333333333","-62.5489000000000000","3"
"1999","5","TOCANTINS","-7.0280600000000000","-49.1731000000000000","1"
"1999","6","AMAPA","0.39916500000000000000","-52.4690500000000000","2"
"1999","6","AMAZONAS","-2.0875414285714286","-64.4829285714285714","7"
"1999","6","MARANHAO","-4.9130600000000000","-46.9517000000000000","1"
"1999","6","MATO GROSSO","-12.0324387483530962","-55.3450104084321476","1518"
"1999","6","PARA","-4.9503035714285714","-49.5054238095238095","42"
"1999","6","RONDONIA","-12.1966300000000000","-60.8217800000000000","10"
"1999","6","RORAIMA","1.24602000000000000000","-60.3689000000000000","3"
"1999","6","TOCANTINS","-7.7515766666666667","-49.1432666666666667","3"
"1999","7","ACRE","-8.1700000000000000","-72.5900000000000000","1"
"1999","7","AMAZONAS","-6.9432609090909091","-60.5008272727272727","11"
"1999","7","MARANHAO","-4.5786244000000000","-46.9922300000000000","50"
"1999","7","MATO GROSSO","-11.6541940656934307","-56.2218391970802920","2740"
"1999","7","PARA","-6.4423431642066421","-51.7885820110701107","1084"
"1999","7","RONDONIA","-11.3040314569536424","-61.8738655629139073","151"
"1999","7","RORAIMA","3.2032675000000000","-60.9207250000000000","4"
"1999","7","TOCANTINS","-7.1347057692307692","-48.3479115384615385","26"
"1999","8","ACRE","-9.9035476000000000","-67.8473000000000000","75"
"1999","8","AMAZONAS","-7.3250980000000000","-60.9066796491228070","285"
"1999","8","MARANHAO","-4.4869105291005291","-46.7069947089947090","189"
"1999","8","MATO GROSSO","-11.3541698065960912","-56.2370812500000000","14736"
"1999","8","PARA","-7.0987110275333523","-51.4384978995174567","7046"
"1999","8","RONDONIA","-11.3542226875852660","-62.2223294679399727","2199"
"1999","8","RORAIMA","2.9750000000000000","-61.1131000000000000","1"
"1999","8","TOCANTINS","-7.3890480864197531","-48.7036703703703704","162"
"1999","9","ACRE","-9.8303411504424779","-68.2173393805309735","226"
"1999","9","AMAPA","0.61451750000000000000","-51.1107250000000000","4"
"1999","9","AMAZONAS","-8.0515988333333333","-64.0057604166666667","240"
"1999","9","MARANHAO","-4.3405424504950495","-46.4442586633663366","404"
"1999","9","MATO GROSSO","-11.9287588355654762","-56.0645760453869048","8064"
"1999","9","PARA","-6.5493189650846749","-50.2374425883336818","4783"
"1999","9","RONDONIA","-11.3948956315789474","-62.4404758771929825","3420"
"1999","9","RORAIMA","3.7699100000000000","-60.4866000000000000","3"
"1999","9","TOCANTINS","-7.1593410655737705","-48.5833682377049180","488"
"1999","10","ACRE","-9.5943401562500000","-68.8726265625000000","64"
"1999","10","AMAPA","1.0964385185185185","-51.1973740740740741","27"
"1999","10","AMAZONAS","-3.8558994769874477","-61.1316269874476987","478"
"1999","10","MARANHAO","-4.4717598177399757","-46.5300959902794654","1646"
"1999","10","MATO GROSSO","-12.0503621736922296","-56.2039248095479939","3938"
"1999","10","PARA","-4.3339174124039723","-50.7705841296608582","5337"
"1999","10","RONDONIA","-10.6578847679924242","-62.6593981534090909","2112"
"1999","10","RORAIMA","2.5108900000000000","-60.3582363636363636","11"
"1999","10","TOCANTINS","-6.7114730357142857","-48.5758598214285714","224"
"1999","11","ACRE","-8.1998650000000000","-70.1432250000000000","4"
"1999","11","AMAPA","1.3529480000000000","-51.5184050000000000","40"
"1999","11","AMAZONAS","-3.4911689655172414","-62.3549206896551724","29"
"1999","11","MARANHAO","-3.6889935251798561","-46.1484856115107914","1251"
"1999","11","MATO GROSSO","-12.3047656155507559","-57.7607289416846652","463"
"1999","11","PARA","-3.0626046108202443","-49.8223276090750436","2865"
"1999","11","RONDONIA","-11.9135748780487805","-62.0088170731707317","41"
